artwork_id,date,country,city,location,address,tool,original_source,tag,,,
1,2020-06-01,,,,,ink pen,,"surrealism, black & white, architecture",,,
2,2020-12-08,,,,,ink pen,,"surrealism, ancient, black & white, architecture",,,
3,2021-01-02,,,,,ink pen & watercolor,,manga,,,
4,2021-01-28,Japan,Tokyo,ばん屋,"日本〒150-0044 Tokyo, Shibuya City, Maruyamacho, 15−6 Urban Coat Shibuya 1F",watercolor,Mateusz Urbanowicz,"shop, 临摹",,,
5,2021-01-28,Japan,Yanaka,Noike,"3 Chome-2-3 Yanaka, Taito City, Tokyo 110-0001日本",watercolor,Mateusz Urbanowicz,"shop, 临摹",,,
6,2021-01-28,Japan,Tokyo,大戸屋,"日本〒102-0083 Tokyo, Chiyoda City, Kojimachi, 1 Chome−8 ATI ビル 2F",watercolor,Mateusz Urbanowicz,"shop, 临摹",,,
7,2021-01-28,,,,,watercolor,WAN_ART,"shop, 临摹",,,
8,2021-01-28,,,,,watercolor,WAN_ART,"shop, 临摹",,,
9,2021-01-28,,,,,watercolor,WAN_ART,"shop, 临摹",,,
10,2021-02-21,,,,,ink pen,,"surrealism, ancient, black & white, architecture",,,
11,2021-04-05,,,,,ink pen,,"animals, global issue, black & white",,,
12,2021-05-07,,,,,ink pen,,"animals, sea creatures, global issue, black & white",,,
13,2021-06-12,,,,,ink pen,@mihiro_00122,"sketch, black & white",,,
14,2021-06-18,Japan,Tokyo,佃源 田中屋,"日本〒104-0051 Tokyo, Chuo City, Tsukuda, 1 Chome−3−13 佃源田中屋",ink pen,,"architecture, black & white",,,
15,2021-07-06,Japan,Tokyo,神田 松屋,"Kanda Matsuya, 1 Chome-13 Kanda Sudacho, Chiyoda City, Tokyo 101-0041日本",ink pen,,"architecture, black & white",,,
16,2021-07-25,Japan,,,,watercolor,,"shop, 临摹",,,
17,2021-07-25,Japan,,藤原豆腐店,,watercolor,《头文字D》电影场景,"shop, 临摹",,,
18,2021-07-25,Japan,,,,watercolor,,"shop, 临摹",,,
19,2021-07-25,Japan,,,,watercolor,,"shop, 临摹",,,
20,2021-07-25,Japan,,,,watercolor,,"shop, 临摹",,,
21,2021-08-18,Japan,Tokyo,酒蔵 秩父錦,"2-chōme-13-14 Ginza, Chuo City, Tokyo 104-0061日本",ink pen,,"architecture, black & white",,,
22,2021-11-25,中国,云南省丽江市,白海螺客栈,中国云南省丽江市古城区步行街 邮政编码: 674100,ink pen,,"architecture, black & white",,,
23,2021-11-30,中国,山西省朔州市,佛宫寺释迦塔（应县木塔）,中国山西省朔州市应县北街佛宫寺内佛宫寺释迦塔 邮政编码: 037699,ink pen,,"architecture, black & white",,,
24,2021-12-30,Japan,Yamagata,Ginzan Onsen,"Ginzan Onsen, Ginzanshinhata, Obanazawa, Yamagata 999-4333, Japan",ink pen,,"architecture, black & white",,,
25,2022-01-07,Russia,Petersburg,Church of the Savior on Blood (Храм Спаса на Крови),"Griboyedov channel embankment, 2Б, St Petersburg, 俄罗斯191186",ink pen,,"architecture, black & white",,,
26,2022-04-15,中国,山西省晋中市介休市,祆神楼,中国山西省晋中市介休市 邮政编码: 032000,ink pen,,"architecture, black & white",,,
27,2022-05-25,Panama,Panama City,Cinta Costera,"Cinta Costera, Panamá, Provincia de Panamá, Panama",ink pen,,"architecture, black & white",,,
28,2022-05-28,中国,山西省晋中市介休市,介休后土庙,中国山西省晋中市介休市庙底街99号 邮政编码: 032000,ink pen,,"architecture, black & white",,,
29,2022-06-12,中国,北京市,故宫,北京市东城区景山前街4号 邮政编码: 100009,ink pen,,"architecture, black & white",,,
30,2022-08-06,中国,湖南省,湘西,中国湖南省湘西土家族苗族自治州,ink pen,,"architecture, black & white",,,
31,2022-08-27,France,Paris,Église de la Sainte-Trinité,"Pl. d'Estienne d'Orves, 75009 Paris, 法国",ink pen,,"architecture, black & white",,,
32,2022-09-19,,,,,watercolor,,"shop, 临摹",,,
33,2022-09-19,,,,,watercolor,,"shop, 临摹",,,
34,2022-09-27,中国,重庆市,洪崖洞,中国重庆市渝中区嘉陵江滨江路纸盐河街37 邮政编码: 400011,ink pen,,"architecture, black & white",,,
35,2022-12-01,中国,北京市,故宫 午门与金水桥,北京市东城区景山前街4号 邮政编码: 100009,ink pen,,"architecture, black & white",,,
36,2022-12-22,中国,山西省晋中市,平遥古城 平遥市楼,中国山西省晋中市平遥县,ink pen,,"architecture, black & white",,,
37,2023-05-13,中国,广州市,宝墨园,中国广东省广州市番禺区紫坭村 邮政编码: 511487,ink pen,,"architecture, black & white",,,
38,2023-11-09,中国,苏州市,拙政园,中国江苏省苏州市姑苏区东北街178号 邮政编码: 215001,ink pen,,"architecture, black & white",,,
39,2024-02-04,中国,山西省运城市,万荣东岳庙 飞云楼,中国山西省运城市万荣县 邮政编码: 044200,ink pen,,"architecture, black & white",,,